Suburb,Rooms,Type,Method,SellerG,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Price
St Albans,3,h,S,Barry,14.0,3021.0,3.0,1.0,2.0,583.0,130.0,1960.0,Brimbank City Council,-37.73073,144.79734,Western Metropolitan,14042.0,785000
West Footscray,3,h,S,Biggin,8.2,3012.0,3.0,1.0,1.0,412.0,162.0,1980.0,Maribyrnong City Council,-37.7941,144.881,Western Metropolitan,5058.0,910000
Coburg,4,h,PI,Jellis,7.8,3058.0,4.0,2.0,5.0,371.0,,1888.0,Darebin City Council,-37.7436,144.962,Northern Metropolitan,11204.0,1160000
Armadale,2,u,S,hockingstuart,6.3,3143.0,2.0,1.0,2.0,0.0,,,Stonnington City Council,-37.8538,145.0127,Southern Metropolitan,4836.0,678000
Eltham,3,h,S,Jellis,18.0,3095.0,3.0,2.0,2.0,346.0,,,Banyule City Council,-37.7208,145.1505,Eastern Metropolitan,6990.0,1055000
Hadfield,4,u,S,Barry,12.1,3046.0,,,,,,,Moreland City Council,,,Northern Metropolitan,2606.0,581000
Windsor,1,u,SP,Kay,5.1,3181.0,1.0,1.0,0.0,0.0,48.0,1975.0,Port Phillip City Council,-37.8508,144.984,Southern Metropolitan,4380.0,350000
Bentleigh East,4,t,PI,Buxton,13.9,3165.0,,,,,,,Glen Eira City Council,,,Southern Metropolitan,10969.0,1100000
Carnegie,4,t,S,hockingstuart,11.4,3163.0,,,,,,,Glen Eira City Council,,,Southern Metropolitan,7822.0,1200000
Dingley Village,2,h,S,C21,22.2,3172.0,,,,,,,Kingston City Council,,,South-Eastern Metropolitan,3940.0,646000
Sunshine,2,h,SP,Douglas,12.6,3020.0,,,,,,,Brimbank City Council,,,Western Metropolitan,3755.0,483000
Seddon,2,h,SP,Village,5.1,3011.0,2.0,1.0,0.0,177.0,,,Maribyrnong City Council,-37.80857,144.88963,Western Metropolitan,2417.0,1120000
Forest Hill,2,u,SP,Noel,15.4,3131.0,2.0,1.0,1.0,296.0,296.0,1998.0,Whitehorse City Council,-37.83633,145.16873,Eastern Metropolitan,4385.0,730000
Mernda,4,h,S,HAR,25.9,3754.0,4.0,2.0,3.0,491.0,182.0,2015.0,Whittlesea City Council,-37.6094,145.0989,Northern Metropolitan,5812.0,705000
West Footscray,2,u,VB,Nguyen,6.4,3012.0,,,,,,,Maribyrnong City Council,,,Western Metropolitan,5058.0,490000
Reservoir,3,h,S,Barry,12.0,3073.0,3.0,1.0,1.0,,,,Darebin City Council,-37.7138,145.0052,Northern Metropolitan,21650.0,950000
Oak Park,3,t,S,YPA,11.5,3046.0,,,,,,,Moreland City Council,,,Northern Metropolitan,2651.0,599900
Clifton Hill,3,h,S,Collins,3.6,3068.0,3.0,2.0,1.0,,,,Yarra City Council,-37.79425,144.9978,Northern Metropolitan,2954.0,1337500
Bulleen,5,h,PI,Barry,11.8,3105.0,,,,,,,Manningham City Council,,,Eastern Metropolitan,4480.0,1900000
Coburg,3,h,S,Nelson,7.8,3058.0,3.0,1.0,1.0,563.0,130.0,1930.0,Darebin City Council,-37.7493,144.978,Northern Metropolitan,11204.0,1370000
Frankston,4,h,S,O'Brien,38.0,3199.0,4.0,2.0,3.0,781.0,,,Frankston City Council,-38.14216,145.1699,South-Eastern Metropolitan,17055.0,844000
Northcote,2,t,S,Nelson,5.3,3070.0,,,,,,,Darebin City Council,,,Northern Metropolitan,11364.0,800000
Sunshine North,3,h,S,GL,13.3,3020.0,3.0,1.0,1.0,610.0,,,Brimbank City Council,-37.7719,144.8414,Western Metropolitan,4217.0,710000
Parkdale,4,h,S,Hodges,21.5,3195.0,4.0,2.0,2.0,554.0,,,Kingston City Council,-37.99323,145.0744,South-Eastern Metropolitan,5087.0,1630000
South Melbourne,3,h,S,Buxton,2.1,3205.0,,,,,,,Port Phillip City Council,-37.8375,144.9651,Southern Metropolitan,5943.0,1732000
South Melbourne,3,h,SA,Greg,1.9,3205.0,3.0,2.0,1.0,513.0,,,Port Phillip City Council,-37.83296,144.96559,Southern Metropolitan,5943.0,1365000
Yarraville,3,h,S,Jas,6.3,3013.0,3.0,1.0,2.0,433.0,144.0,1880.0,Maribyrnong City Council,-37.81183,144.88569,Western Metropolitan,6543.0,1230000
Kealba,4,h,SP,Brad,14.0,3021.0,4.0,2.0,2.0,526.0,186.0,1990.0,Brimbank City Council,-37.73152,144.82612,Western Metropolitan,1202.0,800000
Murrumbeena,2,u,SP,Gary,12.1,3163.0,,,,,,,Glen Eira City Council,,,Southern Metropolitan,4442.0,480000
Bayswater,5,h,S,LJ,23.2,3153.0,5.0,2.0,2.0,942.0,,,Knox City Council,-37.85721,145.26305,Eastern Metropolitan,5030.0,900000
Flemington,2,u,S,Frank,3.4,3031.0,,,,,,,Melbourne City Council,,,Northern Metropolitan,3593.0,452000
Ivanhoe,2,h,VB,Miles,7.9,3079.0,2.0,1.0,1.0,1465.0,,,Banyule City Council,-37.7735,145.0403,Eastern Metropolitan,5549.0,690000
Reservoir,3,u,VB,Ray,12.0,3073.0,,,,,,,Darebin City Council,,,Northern Metropolitan,21650.0,530000
Elsternwick,4,h,S,Woodards,7.2,3185.0,4.0,2.0,2.0,,145.0,1910.0,Glen Eira City Council,-37.8841,145.0103,Southern Metropolitan,4898.0,2201000
Altona Meadows,2,h,S,Barry,15.5,3028.0,2.0,1.0,2.0,,,2000.0,Hobsons Bay City Council,-37.88447,144.78309,Western Metropolitan,7630.0,545000
Sandringham,4,h,S,Buxton,15.2,3191.0,4.0,2.0,2.0,503.0,168.0,1930.0,Bayside City Council,-37.95685,145.01977,Southern Metropolitan,4497.0,1490000
Seddon,2,h,SP,Sweeney,5.1,3011.0,2.0,1.0,2.0,328.0,77.0,2016.0,Maribyrnong City Council,-37.80421,144.88637,Western Metropolitan,2417.0,807500
Kew,2,u,S,Nelson,5.4,3101.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,10331.0,780000
Oak Park,2,u,S,hockingstuart,11.5,3046.0,2.0,1.0,1.0,189.0,85.0,1995.0,Moreland City Council,-37.7151,144.9191,Northern Metropolitan,2651.0,476000
Pascoe Vale,3,h,SP,Barry,9.9,3044.0,3.0,1.0,3.0,464.0,124.0,1955.0,Moreland City Council,-37.7184,144.9488,Northern Metropolitan,7485.0,770000
Altona,3,t,S,hockingstuart,11.0,3018.0,3.0,2.0,2.0,159.0,130.0,2014.0,Hobsons Bay City Council,-37.86472,144.82929,Western Metropolitan,5301.0,815000
North Melbourne,2,h,S,Rendina,2.3,3051.0,,,,,,,Melbourne City Council,,,Northern Metropolitan,6821.0,690000
Balwyn North,3,h,S,Nelson,9.2,3104.0,3.0,1.0,2.0,657.0,151.0,1960.0,Boroondara City Council,-37.7895,145.0985,Southern Metropolitan,7809.0,1651000
Jacana,3,h,S,RW,14.0,3047.0,3.0,1.0,4.0,764.0,,,Hume City Council,-37.68907,144.91459,Northern Metropolitan,851.0,620500
Vermont South,3,h,S,Harcourts,17.2,3133.0,3.0,2.0,4.0,832.0,209.0,1976.0,Whitehorse City Council,-37.85973,145.18223,Eastern Metropolitan,4280.0,1170000
Brunswick,3,h,VB,Nelson,5.2,3056.0,3.0,2.0,3.0,299.0,,,Moreland City Council,-37.7759,144.952,Northern Metropolitan,11918.0,1300000
Doncaster,4,h,SP,Parkes,13.9,3108.0,4.0,2.0,2.0,840.0,,,Manningham City Council,-37.78,145.1145,Eastern Metropolitan,9028.0,1460000
Williamstown North,4,h,SP,Sweeney,8.9,3016.0,4.0,1.0,3.0,468.0,139.0,,Hobsons Bay City Council,-37.8559,144.8785,Western Metropolitan,802.0,881000
Brunswick West,2,h,S,Ray,5.2,3055.0,2.0,1.0,2.0,434.0,,,Moreland City Council,-37.75336,144.93872,Northern Metropolitan,7082.0,887500
Richmond,2,u,S,Biggin,2.6,3121.0,2.0,1.0,1.0,0.0,,1965.0,Yarra City Council,-37.8236,145.009,Northern Metropolitan,14949.0,530000
Windsor,3,h,VB,Marshall,5.1,3181.0,3.0,1.0,2.0,361.0,,,Port Phillip City Council,-37.8546,144.9865,Southern Metropolitan,4380.0,1850000
Brunswick West,1,u,S,Jellis,5.2,3055.0,1.0,1.0,1.0,406.0,40.0,1970.0,Moreland City Council,-37.75847,144.94226,Northern Metropolitan,7082.0,312000
Montmorency,4,h,S,Jellis,16.2,3094.0,,,,,,,Banyule City Council,,,Eastern Metropolitan,3891.0,926000
Seddon,2,h,S,hockingstuart,5.1,3011.0,2.0,1.0,,,105.0,1900.0,Maribyrnong City Council,-37.80744,144.88831,Western Metropolitan,2417.0,1157000
Essendon,2,u,SP,Brad,7.5,3040.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,9264.0,465000
Doncaster,3,h,S,Barry,13.9,3108.0,3.0,2.0,2.0,648.0,129.0,1980.0,Manningham City Council,-37.7798,145.1368,Eastern Metropolitan,9028.0,1152500
Fawkner,3,t,S,Harcourts,13.1,3060.0,3.0,1.0,1.0,642.0,123.0,2008.0,Hume City Council,-37.7127,144.9746,Northern Metropolitan,5070.0,542000
Watsonia,2,u,S,Darren,14.5,3087.0,2.0,1.0,1.0,169.0,,2007.0,Banyule City Council,-37.71607,145.07884,Northern Metropolitan,2329.0,686000
Ivanhoe East,3,h,S,Miles,9.0,3079.0,3.0,1.0,1.0,624.0,117.0,1950.0,Banyule City Council,-37.7741,145.0506,Eastern Metropolitan,1554.0,1605000
Rockbank,4,h,S,HAR,23.8,3335.0,,,,,,,Melton City Council,,,Western Metropolitan,538.0,620000
West Footscray,3,h,PI,Village,6.4,3012.0,3.0,1.0,2.0,460.0,112.0,1940.0,Maribyrnong City Council,-37.80139,144.86458,Western Metropolitan,5058.0,900000
Watsonia,3,h,VB,Darren,14.5,3087.0,3.0,1.0,0.0,602.0,90.0,1960.0,Banyule City Council,-37.70508,145.08563,Northern Metropolitan,2329.0,850000
Brighton East,2,t,SP,Buxton,10.3,3187.0,2.0,1.0,1.0,208.0,,,Bayside City Council,-37.9315,145.0314,Southern Metropolitan,6938.0,860000
Yarraville,4,h,PI,Village,7.0,3013.0,3.0,1.0,2.0,664.0,,1960.0,Maribyrnong City Council,-37.8172,144.8676,Western Metropolitan,6543.0,970000
Bentleigh East,3,h,S,Buxton,13.8,3165.0,3.0,2.0,3.0,722.0,736.0,,Glen Eira City Council,-37.93179,145.06957,Southern Metropolitan,10969.0,1410000
Port Melbourne,3,u,PI,Marshall,3.5,3207.0,3.0,2.0,2.0,0.0,189.0,2000.0,Melbourne City Council,-37.8429,144.94487,Southern Metropolitan,8648.0,1725000
Gowanbrae,4,h,PI,Nelson,13.6,3043.0,4.0,2.0,2.0,453.0,213.0,2007.0,Moreland City Council,-37.7016,144.8974,Western Metropolitan,1071.0,709000
St Kilda,3,h,S,Gary,6.1,3182.0,,,,,,,Port Phillip City Council,-37.858,144.9866,Southern Metropolitan,13240.0,1315000
Mentone,3,t,PI,Buxton,20.0,3194.0,3.0,2.0,2.0,,174.0,2000.0,Kingston City Council,-37.97539,145.06098,South-Eastern Metropolitan,6162.0,810000
Northcote,3,h,PI,Barry,5.3,3070.0,,,,,,,Darebin City Council,,,Northern Metropolitan,11364.0,1285000
Port Melbourne,2,u,S,RT,3.5,3207.0,,,,,,,Melbourne City Council,,,Southern Metropolitan,8648.0,2030000
Doreen,4,h,S,Barry,25.9,3754.0,4.0,2.0,2.0,,233.0,2011.0,Nillumbik Shire Council,-37.59315,145.1229,Northern Victoria,7254.0,740000
Coburg North,2,t,VB,Peter,9.2,3058.0,,,,,,,Darebin City Council,,,Northern Metropolitan,3445.0,420000
Keilor East,3,h,S,Nelson,11.7,3033.0,3.0,1.0,3.0,659.0,,,Brimbank City Council,-37.73806,144.87046,Western Metropolitan,5629.0,1095000
South Melbourne,2,u,VB,hockingstuart,2.1,3205.0,2.0,1.0,0.0,438.0,2.0,1900.0,Port Phillip City Council,-37.8353,144.9599,Southern Metropolitan,5943.0,650000
Hughesdale,2,u,S,Fletchers,13.0,3166.0,2.0,1.0,2.0,0.0,60.0,1960.0,Monash City Council,-37.8942,145.0867,Southern Metropolitan,3145.0,455000
Pascoe Vale,2,t,PI,Nelson,9.9,3044.0,2.0,1.0,1.0,113.0,94.0,1988.0,Moreland City Council,-37.7269,144.9274,Northern Metropolitan,7485.0,480000
Richmond,2,h,S,hockingstuart,2.4,3121.0,,,,,,,Yarra City Council,,,Northern Metropolitan,14949.0,1339000
Thornbury,2,t,PI,McGrath,7.0,3071.0,,,,,,,Darebin City Council,,,Northern Metropolitan,8870.0,770000
Footscray,3,h,VB,Jas,5.1,3011.0,3.0,2.0,,147.0,,,Maribyrnong City Council,-37.7946,144.8938,Western Metropolitan,7570.0,975000
Hampton,3,h,S,Buxton,13.7,3188.0,2.0,2.0,2.0,920.0,,,Bayside City Council,-37.9452,145.0113,Southern Metropolitan,5454.0,1800000
Hawthorn,4,h,S,RT,4.6,3122.0,4.0,2.0,2.0,410.0,275.0,1890.0,Boroondara City Council,-37.8246,145.026,Southern Metropolitan,11308.0,1976000
Craigieburn,5,h,S,Jason,20.6,3064.0,5.0,2.0,2.0,,,,Hume City Council,-37.57837,144.90647,Northern Metropolitan,15510.0,640000
Frankston,3,h,S,Ray,38.0,3199.0,3.0,2.0,2.0,306.0,125.0,1970.0,Frankston City Council,-38.1386,145.12142,South-Eastern Metropolitan,17055.0,1010000
Cheltenham,3,h,PI,Buxton,17.9,3192.0,3.0,1.0,3.0,590.0,,,Bayside City Council,-37.95416,145.06781,Southern Metropolitan,9758.0,1051000
South Morang,5,h,S,Stockdale,20.5,3752.0,5.0,3.0,2.0,832.0,255.0,2009.0,Whittlesea City Council,-37.6414,145.0838,Northern Metropolitan,7969.0,810000
Kingsville,2,h,SP,Village,7.8,3012.0,2.0,1.0,1.0,220.0,219.0,1890.0,Maribyrnong City Council,-37.8068,144.8782,Western Metropolitan,1808.0,685000
Carnegie,4,h,S,Gary,11.4,3163.0,,,,,,,Glen Eira City Council,,,Southern Metropolitan,7822.0,1705000
Altona,3,h,S,hockingstuart,13.8,3018.0,3.0,1.0,4.0,777.0,22.0,1953.0,Hobsons Bay City Council,-37.8697,144.8249,Western Metropolitan,5301.0,1335000
Clayton,4,h,S,Harcourts,16.7,3168.0,,,,,,,Monash City Council,,,South-Eastern Metropolitan,5837.0,1445000
Hawthorn East,3,h,S,Jellis,7.5,3123.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,6482.0,1410000
Heidelberg,3,h,PI,Miles,8.9,3084.0,3.0,1.0,2.0,,136.0,1950.0,Banyule City Council,-37.74791,145.06537,Eastern Metropolitan,2890.0,1450000
Hampton,3,h,S,Chisholm,13.7,3188.0,,,,,,,Bayside City Council,,,Southern Metropolitan,5454.0,910000
Mordialloc,2,u,S,O'Brien,21.5,3195.0,2.0,1.0,1.0,,93.0,1970.0,Kingston City Council,-38.00109,145.08454,South-Eastern Metropolitan,3650.0,675000
Maribyrnong,2,h,VB,Biggin,4.3,3032.0,2.0,1.0,1.0,575.0,,,Maribyrnong City Council,-37.78446,144.88781,Western Metropolitan,4918.0,920000
Malvern East,2,h,S,Marshall,11.2,3145.0,,,,,,,Stonnington City Council,,,Southern Metropolitan,8801.0,1149000
Newport,3,t,SP,Greg,6.2,3015.0,3.0,2.0,2.0,211.0,,,Hobsons Bay City Council,-37.83712,144.86686,Western Metropolitan,5498.0,950000
South Yarra,1,u,S,hockingstuart,3.3,3141.0,,,,,,,Melbourne City Council,,,Southern Metropolitan,14887.0,495000
Burwood,3,t,PI,LLC,10.4,3125.0,,,,,,,Monash City Council,,,Southern Metropolitan,5678.0,860000
Hawthorn,1,u,S,Biggin,5.3,3122.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,11308.0,421500
Bentleigh East,4,h,S,hockingstuart,13.9,3165.0,4.0,2.0,2.0,674.0,,,Glen Eira City Council,-37.9272,145.0786,Southern Metropolitan,10969.0,1475000
Footscray,2,u,PI,Sweeney,6.4,3011.0,2.0,1.0,1.0,0.0,,,Maribyrnong City Council,-37.7878,144.8919,Western Metropolitan,7570.0,310000
Eltham North,3,h,S,Morrison,18.0,3095.0,3.0,1.0,2.0,768.0,122.0,1985.0,Banyule City Council,-37.69031,145.14557,Eastern Metropolitan,2346.0,967500
Gowanbrae,3,h,S,Nelson,13.6,3043.0,3.0,2.0,2.0,585.0,,,Moreland City Council,-37.7055,144.8943,Western Metropolitan,1071.0,741000
Pascoe Vale,1,u,S,Brad,8.5,3044.0,1.0,1.0,1.0,995.0,35.0,1970.0,Moreland City Council,-37.7237,144.92232,Northern Metropolitan,7485.0,257500
Hoppers Crossing,3,h,S,YPA,18.4,3029.0,3.0,1.0,1.0,552.0,,1980.0,Wyndham City Council,-37.87516,144.70114,Western Metropolitan,13830.0,625000
Surrey Hills,3,t,SP,Fletchers,11.2,3127.0,3.0,2.0,1.0,302.0,,,Boroondara City Council,-37.8289,145.1005,Southern Metropolitan,5457.0,1325000
Maidstone,2,t,S,Biggin,6.4,3012.0,2.0,1.0,1.0,,,,Maribyrnong City Council,-37.77838,144.87424,Western Metropolitan,3873.0,521000
Keilor East,3,t,S,Moonee,11.7,3033.0,,,,,,,Brimbank City Council,,,Western Metropolitan,5629.0,786000
Maribyrnong,3,h,S,Biggin,8.7,3032.0,3.0,1.0,1.0,629.0,,,Maribyrnong City Council,-37.7798,144.8872,Western Metropolitan,4918.0,986500
Essendon,2,h,VB,Brad,7.5,3040.0,2.0,1.0,,291.0,,,Moonee Valley City Council,-37.75145,144.90793,Western Metropolitan,9264.0,950000
Campbellfield,3,h,S,YPA,14.5,3061.0,3.0,1.0,1.0,766.0,,,Hume City Council,-37.6804,144.9664,Northern Metropolitan,1889.0,455000
Hawthorn,2,u,S,hockingstuart,4.6,3122.0,2.0,1.0,1.0,0.0,78.0,1960.0,Boroondara City Council,-37.8343,145.0364,Southern Metropolitan,11308.0,655000
Armadale,1,u,SP,Fletchers,6.3,3143.0,1.0,1.0,1.0,0.0,,,Stonnington City Council,-37.8575,145.0174,Southern Metropolitan,4836.0,315000
Maribyrnong,4,h,SP,hockingstuart,8.7,3032.0,,,,,,,Maribyrnong City Council,,,Western Metropolitan,4918.0,1080000
Glenroy,2,h,S,Eview,13.0,3046.0,2.0,1.0,2.0,590.0,,,Moreland City Council,-37.7072,144.938,Northern Metropolitan,8870.0,726335
Newport,4,h,S,Williams,6.2,3015.0,4.0,2.0,1.0,418.0,158.0,1940.0,Hobsons Bay City Council,-37.83916,144.88168,Western Metropolitan,5498.0,1150000
Thornbury,2,u,S,McGrath,6.5,3071.0,2.0,1.0,1.0,0.0,52.0,1970.0,Darebin City Council,-37.7526,145.0023,Northern Metropolitan,8870.0,450000
Carlton North,2,u,S,Jellis,3.5,3054.0,2.0,1.0,,,64.0,1820.0,Melbourne City Council,-37.78188,144.97227,Northern Metropolitan,3106.0,720000
Elwood,2,u,S,Buxton,7.7,3184.0,2.0,2.0,1.0,0.0,84.0,1970.0,Port Phillip City Council,-37.883,144.9916,Southern Metropolitan,8989.0,670000
Kensington,3,h,S,Nelson,4.2,3031.0,3.0,1.0,0.0,239.0,135.0,1910.0,Melbourne City Council,-37.7923,144.9324,Northern Metropolitan,5263.0,1165000
Gladstone Park,3,h,S,YPA,12.9,3043.0,3.0,1.0,2.0,544.0,,,Hume City Council,-37.68541,144.88471,Western Metropolitan,3285.0,625000
Moonee Ponds,4,h,S,Rendina,6.9,3039.0,4.0,1.0,2.0,453.0,145.0,1920.0,Moonee Valley City Council,-37.7698,144.9336,Western Metropolitan,6232.0,1361500
Brunswick,2,t,PI,Jellis,5.2,3056.0,2.0,1.0,1.0,0.0,78.0,2009.0,Moreland City Council,-37.7588,144.9646,Northern Metropolitan,11918.0,605000
South Melbourne,4,h,S,Greg,1.9,3205.0,4.0,3.0,0.0,280.0,,1890.0,Port Phillip City Council,-37.83923,144.95113,Southern Metropolitan,5943.0,3825000
Maribyrnong,4,h,S,hockingstuart,4.3,3032.0,4.0,1.0,3.0,697.0,155.0,1920.0,Maribyrnong City Council,-37.78352,144.88981,Western Metropolitan,4918.0,1340000
Malvern East,2,u,VB,Marshall,8.4,3145.0,,,,,,,Stonnington City Council,,,Southern Metropolitan,8801.0,530000
Preston,4,h,PI,Nelson,8.8,3072.0,4.0,1.0,3.0,577.0,,,Darebin City Council,-37.7344,144.9865,Northern Metropolitan,14577.0,910000
Newport,5,h,PI,Jas,6.2,3015.0,,,,,,,Hobsons Bay City Council,,,Western Metropolitan,5498.0,1180000
Ringwood,3,h,PI,Woodards,19.9,3134.0,3.0,1.0,1.0,737.0,,,Maroondah City Council,-37.8021,145.23473,Eastern Metropolitan,7785.0,800000
Prahran,1,u,S,hockingstuart,4.6,3181.0,,,,,,,Stonnington City Council,,,Southern Metropolitan,7717.0,383000
Abbotsford,3,h,S,Nelson,3.0,3067.0,3.0,1.0,,241.0,,,Yarra City Council,-37.80273,144.99646,Northern Metropolitan,4019.0,1540000
Reservoir,3,h,S,Ray,12.0,3073.0,3.0,1.0,2.0,676.0,,1940.0,Darebin City Council,-37.72167,145.01706,Northern Metropolitan,21650.0,925000
Templestowe Lower,3,h,S,Noel,13.8,3107.0,3.0,1.0,1.0,907.0,,,Manningham City Council,-37.7628,145.1185,Eastern Metropolitan,5420.0,1503500
Brighton,2,u,S,hockingstuart,11.2,3186.0,2.0,2.0,1.0,244.0,,2000.0,Bayside City Council,-37.8954,145.0026,Southern Metropolitan,10579.0,1300000
Hawthorn,3,u,S,Marshall,5.3,3122.0,3.0,2.0,1.0,5259.0,119.0,2000.0,Boroondara City Council,-37.81442,145.01531,Southern Metropolitan,11308.0,1150000
Maribyrnong,1,u,SP,Sweeney,8.7,3032.0,,,,,,,Maribyrnong City Council,,,Western Metropolitan,4918.0,277500
MacLeod,2,u,SP,Ray,12.7,3085.0,,,,,,,Banyule City Council,,,Northern Metropolitan,4168.0,630000
Brunswick,3,h,S,Jellis,5.2,3056.0,3.0,2.0,1.0,470.0,,,Moreland City Council,-37.7556,144.95729,Northern Metropolitan,11918.0,1260000
Doncaster,4,h,PI,Ray,12.4,3108.0,,,,,,,Manningham City Council,,,Eastern Metropolitan,9028.0,1575000
Fairfield,4,h,S,Jellis,5.8,3078.0,4.0,2.0,2.0,490.0,226.0,2007.0,Darebin City Council,-37.7749,145.0242,Northern Metropolitan,2970.0,1730000
Burwood,3,h,S,Noel,11.7,3125.0,3.0,1.0,2.0,661.0,,,Monash City Council,-37.8495,145.1282,Southern Metropolitan,5678.0,1175000
Malvern East,4,h,S,Jellis,8.4,3145.0,4.0,5.0,2.0,696.0,,,Stonnington City Council,-37.88398,145.07493,Southern Metropolitan,8801.0,2830000
Richmond,2,h,S,Collins,2.4,3121.0,,,,,,,Yarra City Council,,,Northern Metropolitan,14949.0,1230000
Parkdale,4,h,SP,Barry,21.5,3195.0,4.0,2.0,4.0,641.0,180.0,1980.0,Kingston City Council,-37.98464,145.08185,South-Eastern Metropolitan,5087.0,1137500
Moonee Ponds,4,h,S,Nelson,6.2,3039.0,4.0,1.0,3.0,798.0,,,Moonee Valley City Council,-37.77035,144.9194,Western Metropolitan,6232.0,2220000
Hawthorn,2,u,VB,Peter,5.3,3122.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,11308.0,480000
Niddrie,4,h,S,Barry,10.4,3042.0,4.0,3.0,1.0,325.0,413.0,1967.0,Moonee Valley City Council,-37.74063,144.88977,Western Metropolitan,2291.0,1250000
Chadstone,3,t,S,Woodards,11.7,3148.0,3.0,2.0,1.0,255.0,115.0,2000.0,Monash City Council,-37.88267,145.10823,Southern Metropolitan,3582.0,765000
Craigieburn,4,h,S,Barry,20.6,3064.0,4.0,2.0,2.0,,,,Hume City Council,-37.58624,144.90553,Northern Metropolitan,15510.0,695000
Newport,3,h,S,McGrath,6.2,3015.0,3.0,1.0,2.0,373.0,,,Hobsons Bay City Council,-37.84046,144.89135,Western Metropolitan,5498.0,380000
Keilor East,4,h,S,Nelson,11.7,3033.0,4.0,4.0,3.0,429.0,,,Brimbank City Council,-37.74872,144.87558,Western Metropolitan,5629.0,1210000
Clayton South,2,u,S,Buxton,17.5,3169.0,,,,,,,Kingston City Council,,,South-Eastern Metropolitan,4734.0,712000
Essendon,3,h,S,Brad,7.5,3040.0,3.0,1.0,2.0,658.0,183.0,1950.0,Moonee Valley City Council,-37.75009,144.89271,Western Metropolitan,9264.0,1150000
Reservoir,2,u,S,Nelson,11.2,3073.0,2.0,1.0,1.0,149.0,70.0,1980.0,Darebin City Council,-37.7177,144.9917,Northern Metropolitan,21650.0,380000
Brunswick West,2,t,VB,Nelson,5.9,3055.0,2.0,1.0,1.0,0.0,85.0,1970.0,Moreland City Council,-37.7607,144.9393,Northern Metropolitan,7082.0,380000
Blackburn,3,h,S,RW,13.4,3130.0,3.0,1.0,1.0,882.0,,,Whitehorse City Council,-37.81281,145.14308,Eastern Metropolitan,5713.0,1370000
Alphington,3,h,S,Collins,6.4,3078.0,,,,,,,Darebin City Council,-37.7796,145.0285,Northern Metropolitan,2211.0,1361000
South Yarra,3,u,S,Williams,3.3,3141.0,3.0,1.0,1.0,0.0,,1970.0,Melbourne City Council,-37.836,144.9782,Southern Metropolitan,14887.0,920000
Reservoir,2,t,S,Ray,12.0,3073.0,,,,,,,Darebin City Council,,,Northern Metropolitan,21650.0,625000
Braybrook,3,h,S,RW,8.6,3019.0,3.0,1.0,3.0,539.0,114.0,1950.0,Maribyrnong City Council,-37.79262,144.84587,Western Metropolitan,3589.0,785000
Brunswick East,2,u,S,McDonald,4.5,3057.0,2.0,1.0,2.0,65.0,,1960.0,Moreland City Council,-37.7724,144.9741,Northern Metropolitan,5533.0,632000
Coburg North,4,h,S,Barry,6.7,3058.0,4.0,2.0,2.0,,143.0,1970.0,Darebin City Council,-37.72455,144.96716,Northern Metropolitan,3445.0,965000
Preston,4,h,S,McGrath,8.4,3072.0,4.0,1.0,2.0,509.0,202.0,1920.0,Darebin City Council,-37.74684,144.9933,Northern Metropolitan,14577.0,1485000
Mill Park,3,h,S,Ray,17.9,3082.0,3.0,2.0,2.0,649.0,,,Whittlesea City Council,-37.67633,145.06922,Northern Metropolitan,10529.0,767500
Toorak,1,u,PI,Williams,4.6,3142.0,1.0,1.0,1.0,0.0,38.0,1958.0,Stonnington City Council,-37.8369,145.0077,Southern Metropolitan,7217.0,349000
Seddon,2,h,S,Sweeney,6.6,3011.0,,,,,,,Maribyrnong City Council,,,Western Metropolitan,2417.0,842000
Thornbury,2,u,S,Brace,6.5,3071.0,2.0,1.0,1.0,0.0,,1960.0,Darebin City Council,-37.7542,145.01,Northern Metropolitan,8870.0,371000
Keilor East,4,h,VB,Nelson,11.7,3033.0,4.0,2.0,2.0,534.0,223.0,1970.0,Brimbank City Council,-37.7475,144.8501,Western Metropolitan,5629.0,810000
Elsternwick,3,h,S,Buxton,8.5,3185.0,,,,,,,Glen Eira City Council,-37.8833,144.9982,Southern Metropolitan,4898.0,1440000
Mill Park,5,h,S,Ray,17.9,3082.0,5.0,3.0,1.0,531.0,122.0,1990.0,Whittlesea City Council,-37.65116,145.05439,Northern Metropolitan,10529.0,598000
Brunswick,4,h,VB,Nelson,5.2,3056.0,3.0,1.0,0.0,416.0,,,Moreland City Council,-37.763,144.9598,Northern Metropolitan,11918.0,820000
Bentleigh East,4,h,S,Buxton,13.8,3165.0,4.0,2.0,2.0,581.0,206.0,2013.0,Glen Eira City Council,-37.9261,145.0506,Southern Metropolitan,10969.0,1640000
Hampton,4,h,S,Hodges,13.7,3188.0,4.0,2.0,2.0,664.0,,,Bayside City Council,-37.9394,145.0099,Southern Metropolitan,5454.0,1686500
